family,positive_delta_pair_count,mean_accuracy_delta,mean_churn_mass,mean_improvement_mass,mean_regression_mass,mean_error_persistence,mean_correction_rate,mean_regression_gap,mean_net_gain_per_changed_item,accuracy_delta_to_churn_mass_r
gemma,6,0.115803,0.273493,0.194648,0.078845,0.777885,0.222115,0.089833,0.379351,0.988404
qwen,20,0.181499,0.352144,0.266822,0.085322,0.654843,0.345157,0.117796,0.482214,0.931997
