family,model_count,row_count,models_with_saved_prediction_field,raw_prediction_rows,explicit_marker_rows,fallback_letter_rows,unanswered_rows
gemma,5,15040,2,5855,4169,1929,3087
llama,1,3008,0,0,2440,513,55
phi,1,3008,1,2730,0,0,278
qwen,7,21056,0,0,15282,5686,88
