family,pair_count,model_count_in_pairs,mean_old_accuracy,mean_new_accuracy,mean_accuracy_delta,mean_error_persistence,error_persistence_sd,error_persistence_ci_low,error_persistence_ci_high,mean_regression_gap,mean_normalized_regression_burden,regression_gap_ci_low,regression_gap_ci_high,normalized_regression_burden_ci_low,normalized_regression_burden_ci_high,mean_churn_mass,churn_mass_ci_low,churn_mass_ci_high,mean_regression_mass,mean_improvement_mass,mean_correction_rate,accuracy_delta_to_regression_gap_r,positive_delta_pairs
gemma,6,4,0.120623,0.236425,0.115803,0.777885,0.088291,0.722338,0.841934,0.089833,0.089833,0.084465,0.0952,0.084465,0.0952,0.273493,0.222296,0.319925,0.078845,0.194648,0.222115,-0.472146,6
qwen,21,7,0.242575,0.414149,0.171574,0.658368,0.085027,0.624229,0.695125,0.127513,0.127513,0.101304,0.158535,0.101304,0.158535,0.350367,0.323755,0.378691,0.089397,0.260971,0.341632,-0.81062,20
