source_id,comparison_id,task_scope,family,old_model,new_model,old_generation,new_generation,old_parameter_b,new_parameter_b,n_common,old_accuracy,new_accuracy,accuracy_delta,accuracy_delta_ci95_low,accuracy_delta_ci95_high,old_error_count,new_error_count,persistent_correct_count,persistent_error_count,improvement_count,regression_count,improvement_mass,regression_mass,churn_mass,error_persistence,correction_rate,normalized_regression_burden,error_jaccard,error_redistribution_index,mcnemar_exact_p,claim_use,claim_boundary
wild,bbh:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,bbh,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,5580,0.311111,0.436022,0.124911,0.0,0.0,3844,3147,1053,2464,1380,683,0.247312,0.122401,0.369713,0.640999,0.359001,0.177679,0.54429,0.45571,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,bbh:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,bbh,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,5580,0.402509,0.436022,0.033513,0.0,0.0,3334,3147,1570,2471,863,676,0.154659,0.121147,0.275806,0.741152,0.258848,0.20276,0.616209,0.383791,2.07e-06,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,boolq:llama-3.2-1b -> llama-3.2-3b,boolq,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,3270,0.538532,0.784404,0.245872,0.0,0.0,1509,705,1576,520,989,185,0.302446,0.056575,0.359021,0.344599,0.655401,0.122598,0.306966,0.693034,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,boolq:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,boolq,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,3270,0.65107,0.768196,0.117126,0.0,0.0,1141,758,1867,496,645,262,0.197248,0.080122,0.27737,0.434706,0.565294,0.229622,0.353528,0.646472,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,boolq:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,boolq,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,3270,0.65107,0.770948,0.119878,0.0,0.0,1141,749,1720,340,801,409,0.244954,0.125076,0.370031,0.297984,0.702016,0.358456,0.219355,0.780645,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,boolq:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,boolq,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,3270,0.768196,0.770948,0.002752,0.0,0.0,758,749,2085,322,436,427,0.133333,0.130581,0.263914,0.424802,0.575198,0.563325,0.27173,0.72827,0.7853923,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,gsm8k:llama-3.2-1b -> llama-3.2-3b,gsm8k,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,1319,0.45489,0.789234,0.334344,0.0,0.0,719,278,560,238,481,40,0.36467,0.030326,0.394996,0.331015,0.668985,0.055633,0.31357,0.68643,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,gsm8k:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,gsm8k,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,1319,0.386657,0.673237,0.28658,0.0,0.0,809,431,439,360,449,71,0.340409,0.053829,0.394238,0.444994,0.555006,0.087763,0.409091,0.590909,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,gsm8k:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,gsm8k,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,1319,0.386657,0.83624,0.449583,0.0,0.0,809,216,493,199,610,17,0.462472,0.012889,0.47536,0.245983,0.754017,0.021014,0.24092,0.75908,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,gsm8k:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,gsm8k,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,1319,0.673237,0.83624,0.163003,0.0,0.0,431,216,836,164,267,52,0.202426,0.039424,0.24185,0.38051,0.61949,0.12065,0.339545,0.660455,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,hellaswag:llama-3.2-1b -> llama-3.2-3b,hellaswag,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,10018,0.373627,0.621681,0.248054,0.0,0.0,6275,3790,2796,2843,3432,947,0.342583,0.09453,0.437113,0.453068,0.546932,0.150916,0.393658,0.606342,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,hellaswag:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,hellaswag,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,10018,0.325514,0.556199,0.230685,0.0,0.0,6757,4446,2445,3630,3127,816,0.312138,0.081453,0.393592,0.537221,0.462779,0.120763,0.479334,0.520666,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,hellaswag:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,hellaswag,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,10018,0.325514,0.708824,0.38331,0.0,0.0,6757,2917,2658,2314,4443,603,0.443502,0.060192,0.503693,0.34246,0.65754,0.089241,0.314402,0.685598,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,hellaswag:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,hellaswag,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,10018,0.556199,0.708824,0.152625,0.0,0.0,4446,2917,4700,2045,2401,872,0.239669,0.087043,0.326712,0.459964,0.540036,0.196131,0.384543,0.615457,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,ifeval:llama-3.2-1b -> llama-3.2-3b,ifeval,llama,llama-3.2-1b,llama-3.2-3b,llama3.2,llama3.2,1.0,3.0,541,0.497227,0.715342,0.218115,0.0,0.0,272,154,240,125,147,29,0.271719,0.053604,0.325323,0.459559,0.540441,0.106617,0.415282,0.584718,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,ifeval:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,ifeval,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,qwen2.5,0.5,1.5,541,0.251386,0.401109,0.149723,0.0,0.0,405,324,105,293,112,31,0.207024,0.057301,0.264325,0.723457,0.276543,0.076543,0.672018,0.327982,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,ifeval:Qwen/Qwen2.5-0.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,ifeval,qwen,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,541,0.251386,0.597043,0.345657,0.0,0.0,405,218,120,202,203,16,0.375231,0.029575,0.404806,0.498765,0.501235,0.039506,0.47981,0.52019,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
wild,ifeval:Qwen/Qwen2.5-1.5B-Instruct -> Qwen/Qwen2.5-3B-Instruct,ifeval,qwen,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,1.5,3.0,541,0.401109,0.597043,0.195934,0.0,0.0,324,218,182,183,141,35,0.260628,0.064695,0.325323,0.564815,0.435185,0.108025,0.509749,0.490251,0.0,external_item_level_correctness_replication,WILD provides binary correctness only; no raw-response parser or prompt-format claims are made.
